date,open,high,low,close,volume,amount
2012-10-10,11564.10,11806.20,11448.80,11701.70,14598947840.00,123934556160.00
2012-10-11,11709.60,11876.90,11479.40,11572.80,13863622656.00,119276126208.00
2012-10-12,11537.80,11732.40,11308.70,11485.50,12186684416.00,103033389056.00
2012-10-15,11357.50,11480.40,11105.40,11294.90,10258846720.00,91157045248.00
2012-10-16,11190.70,11408.90,11079.30,11237.90,10479475712.00,95936577536.00
2012-10-17,11149.80,11300.80,10970.00,11154.30,10700748800.00,92054388736.00
2012-10-18,11342.50,11624.60,11269.50,11523.50,15417287680.00,127393579008.00
2012-10-19,11475.40,11632.90,11333.90,11443.40,12351181824.00,103601315840.00
2012-10-22,11308.00,11521.60,11192.00,11439.20,11177610240.00,97016684544.00
2012-10-23,11455.40,11603.30,11239.00,11323.50,13063593984.00,109009592320.00
2012-10-24,11181.80,11388.10,11063.10,11222.20,12879618048.00,97195950080.00
2012-10-25,11229.20,11400.20,11003.60,11097.50,14531850240.00,105466036224.00
2012-10-26,11086.90,11198.80,10734.50,10875.10,13142671360.00,101621047296.00
2012-10-29,10631.60,10796.70,10468.60,10640.90,9084606464.00,73041477632.00
2012-10-30,10497.30,10681.20,10371.70,10500.70,10101758976.00,79953534976.00
2012-10-31,10363.90,10519.50,10219.50,10415.00,10047833088.00,79783600128.00
2012-11-01,10589.90,10895.70,10535.40,10792.30,14151768064.00,116337934336.00
2012-11-02,10825.50,10990.70,10701.90,10876.60,13000992768.00,103374913536.00
2012-11-05,10874.60,11033.70,10720.10,10867.40,12299866112.00,100434460672.00
2012-11-06,10905.10,11023.90,10622.60,10857.00,12681508864.00,103353606144.00
2012-11-07,10733.30,10893.20,10589.20,10737.50,10385656832.00,88473632768.00
2012-11-08,10592.70,10725.00,10357.10,10428.60,11626509312.00,93665140736.00
2012-11-09,10213.60,10377.10,10091.60,10220.80,9250763776.00,73792495616.00
2012-11-12,10110.50,10286.60,9995.40,10176.40,9707425792.00,79134777344.00
2012-11-13,10102.50,10176.90,9804.90,9882.40,10530960384.00,84309549056.00
2012-11-14,9696.80,9846.10,9548.70,9742.80,8579340288.00,70756335616.00
2012-11-15,9525.80,9661.90,9340.90,9420.90,8916883456.00,71416176640.00
2012-11-16,9262.60,9376.40,9080.30,9234.00,8573283328.00,69750726656.00
